Station,Ondate,Offdate,Lat,Lon,Elev
R101,1564857047,1566255600,52.1462173461914,-117.179397583008,1.99294018554687
R102,1564855860,1566255600,52.1455917358398,-117.178970336914,1.991375
R103,1564854464,1566255600,52.1454696655273,-117.177886962891,1.98477014160156
R104,1564853055,1566255600,52.1449089050293,-117.17749786377,1.99038793945312
R105,1564766640,1566255600,52.1446113586426,-117.180938720703,2.01093103027344
R106,1564773939,1566255600,52.1442527770996,-117.179344177246,2.00983679199219
R107,1564771497,1566255600,52.1440582275391,-117.18058013916,2.01786096191406
R108,1564769172,1565024400,52.1434440612793,-117.181427001953,2.02778015136719
R109,1564859762,1566255600,52.1468620300293,-117.17830657959,1.98649938964844
R110,1564858523,1566255600,52.146167755127,-117.178016662598,1.98467077636719
R111,1564863849,1566255600,52.1461181640625,-117.176971435547,1.96614184570313
R112,1564862520,1566255600,52.1467056274414,-117.177337646484,1.97999914550781
R2108,1565024400,1566255600,52.1449737548828,-117.17977142334,2.00229895019531
1110,1565252698.996,1566239424.99902,52.148609161377,-117.178588867187,1.97480004882812
1111,1564869013.461,1566238769.00004,52.1474113464355,-117.177635192871,1.97740002441406
1112,1564867612.825,1566242091.99907,52.1473617553711,-117.176422119141,1.96959997558594
1113,1564865758.758,1566242452.00004,52.1466636657715,-117.176216125488,1.96959997558594
2114,1564961903.651,1566239826.99902,52.1480560302734,-117.176750183105,1.96769995117187
1115,1564870402.895,1566243682.00008,52.1478233337402,-117.175659179688,1.95969995117187
2116,1564951264.572,1566243228.99912,52.1472320556641,-117.175392150879,1.96030004882813
1117,1564680102.414,1566240127.99908,52.1486434936523,-117.177047729492,1.96690002441406
1118,1564681602.347,1566240468,52.1492042541504,-117.176658630371,1.95909997558594
1119,1564682652.411,1566247007.99901,52.1487922668457,-117.17594909668,1.95709997558594
1120,1564684238.936,1566246742.999,52.1493225097656,-117.175521850586,1.95209997558594
1121,1564686321.003,1566244001.99903,52.1483917236328,-117.175338745117,1.955
1122,1564690378.62,1566245715.00001,52.1480903625488,-117.174690246582,1.95559997558594
1123,1564693336.624,1566244505.99912,52.1470146179199,-117.174331665039,1.95069995117188
1124,1564692084.377,1566245424.99907,52.1476936340332,-117.174072265625,1.94659997558594
1125,1564694606.343,1566244785.00002,52.1471977233887,-117.173286437988,1.946
1126,1564695544.171,1566245134.99913,52.1476554870605,-117.172912597656,1.93919995117187
1127,1565646440.675,1566247392.00005,52.1487655639648,-117.174133300781,1.94540002441406
1129,1564697418.899,1564945608.00005,52.1465034484863,-117.171836853027,1.9475
2129,1564941284.777,1566242736,52.1459617614746,-117.176002502441,1.96709997558594
1130,1564700866.635,1564958573.00003,52.1498565673828,-117.178047180176,1.96059997558594
2130,1564939590.245,1566239119.0001,52.1476821899414,-117.178718566895,1.98219995117188
